Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,26.0,Taiwan,,,,18.0,2003-05-10,2003-05-10,23.0,,,172.0,2003-05-10,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-10,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,1.0,,,7.0,2003-05-10,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-09,0.0,,,9.0,2003-05-10,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-06,0.0,,,2.0,2003-05-10,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-10,0.0,,,9.0,2003-05-10,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-10,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-09,2003-05-10,1.0,,,7.0,2003-05-10,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-09,0.0,,,9.0,2003-05-10,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
,2.0,Philippines,,,,2.0,2003-05-07,2003-05-07,0.0,,,10.0,2003-05-10,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-05,0.0,,,1.0,2003-05-10,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-06,0.0,,,1.0,2003-05-10,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-04-29,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-10,,,,,,,
,155.0,Singapore,,,,27.0,2003-05-09,2003-05-10,1.0,,,205.0,2003-05-10,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-10,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-05,0.0,,,1.0,2003-05-10,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-10,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-10,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-08,0.0,,,7.0,2003-05-10,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-29,2003-05-09,0.0,,,6.0,2003-05-10,,,,,,,
,34.0,United States,,,,0.0,2003-05-10,2003-05-10,1.0,,,64.0,2003-05-10,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-10,,,,,,,
,3087.0,Total,,,,526.0,,,119.0,,,7296.0,2003-05-10,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-12,2.0,,,6.0,2003-05-12,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-12,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-12,,,,,,,
,98.0,Canada,,,,22.0,2003-05-04,2003-05-11,0.0,,,143.0,2003-05-12,,,,,,,
,1693.0,China,,,,252.0,2003-05-12,2003-05-12,144.0,,,5013.0,2003-05-12,,,,,,,
,1066.0,Hong Kong,,,,218.0,2003-05-12,2003-05-12,9.0,,,1683.0,2003-05-12,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-12,0.0,,,1.0,2003-05-12,,,,,,,
,26.0,Taiwan,,,,20.0,2003-05-11,2003-05-11,12.0,,,184.0,2003-05-12,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-12,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-09,0.0,,,1.0,2003-05-12,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,0.0,,,7.0,2003-05-12,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-12,0.0,,,9.0,2003-05-12,,,,,,,
,0.0,India,,,,0.0,2003-05-05,2003-05-09,0.0,,,1.0,2003-05-12,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-06,0.0,,,2.0,2003-05-12,,,,,,,
,8.0,Italy,,,,0.0,2003-04-29,2003-05-12,0.0,,,9.0,2003-05-12,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-12,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-09,2003-05-11,0.0,,,7.0,2003-05-12,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-09,0.0,,,9.0,2003-05-12,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-12,0.0,,,1.0,2003-05-12,,,,,,,
,3.0,Philippines,,,,2.0,2003-05-07,2003-05-11,0.0,,,10.0,2003-05-12,,,,,,,
,0.0,Poland,,,,0.0,2003-05-01,2003-05-05,0.0,,,1.0,2003-05-12,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-12,0.0,,,1.0,2003-05-12,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-12,2003-05-12,1.0,,,2.0,2003-05-12,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-12,,,,,,,
,156.0,Singapore,,,,28.0,2003-05-09,2003-05-12,0.0,,,205.0,2003-05-12,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-12,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-05,0.0,,,1.0,2003-05-12,,,,,,,
,2.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-12,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-12,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-11,0.0,,,7.0,2003-05-12,,,,,,,
,6.0,United Kingdom,,,,0.0,2003-04-29,2003-05-09,0.0,,,6.0,2003-05-12,,,,,,,
,34.0,United States,,,,0.0,2003-05-10,2003-05-11,0.0,,,64.0,2003-05-12,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-12,,,,,,,
,3195.0,Total,,,,552.0,,,168.0,,,7447.0,2003-05-12,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-12,0.0,,,6.0,2003-05-13,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-13,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-13,,,,,,,
,99.0,Canada,,,,22.0,2003-05-04,2003-05-12,0.0,,,143.0,2003-05-13,,,,,,,
,1765.0,China,,,,262.0,2003-05-13,2003-05-13,80.0,,,5086.0,2003-05-13,,,,,,,
,1090.0,Hong Kong,,,,225.0,2003-05-13,2003-05-13,6.0,,,1689.0,2003-05-13,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-12,0.0,,,1.0,2003-05-13,,,,,,,
,30.0,Taiwan,,,,24.0,2003-05-12,2003-05-12,23.0,,,207.0,2003-05-13,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-13,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-09,0.0,,,1.0,2003-05-13,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,0.0,,,7.0,2003-05-13,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-13,0.0,,,9.0,2003-05-13,,,,,,,
,0.0,India,,,,0.0,2003-05-13,2003-05-13,2.0,,,3.0,2003-05-13,,,,,,,
,1.0,Indonesia,,,,0.0,2003-04-23,2003-05-13,0.0,,,2.0,2003-05-13,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-13,0.0,,,9.0,2003-05-13,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-13,,,,,,,
,4.0,Malaysia,,,,2.0,2003-05-09,2003-05-12,0.0,,,7.0,2003-05-13,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-09,0.0,,,9.0,2003-05-13,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-13,0.0,,,1.0,2003-05-13,,,,,,,
,3.0,Philippines,,,,2.0,2003-05-07,2003-05-11,0.0,,,10.0,2003-05-13,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-12,0.0,,,1.0,2003-05-13,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-12,2003-05-13,0.0,,,2.0,2003-05-13,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-13,,,,,,,
,157.0,Singapore,,,,28.0,2003-05-09,2003-05-13,0.0,,,205.0,2003-05-13,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-13,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-05,0.0,,,1.0,2003-05-13,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-04-23,0.0,,,3.0,2003-05-13,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-13,,,,,,,
,5.0,Thailand,,,,2.0,2003-04-12,2003-05-13,0.0,,,7.0,2003-05-13,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-13,0.0,,,4.0,2003-05-13,,,,,,,
,35.0,United States,,,,0.0,2003-05-10,2003-05-12,0.0,,,64.0,2003-05-13,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-04,0.0,,,63.0,2003-05-13,,,,,,,
,3298.0,Total,,,,573.0,,,111.0,,,7548.0,2003-05-13,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-14,0.0,,,6.0,2003-05-14,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-14,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-14,,,,,,,
,104.0,Canada,,,,23.0,2003-05-04,2003-05-13,0.0,,,143.0,2003-05-14,,,,,,,
,1811.0,China,,,,267.0,2003-05-14,2003-05-14,55.0,,,5124.0,2003-05-14,,,,,,,
,1128.0,Hong Kong,,,,227.0,2003-05-14,2003-05-14,9.0,,,1698.0,2003-05-14,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-14,0.0,,,1.0,2003-05-14,,,,,,,
,38.0,Taiwan,,,,30.0,2003-05-14,2003-05-14,31.0,,,238.0,2003-05-14,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-14,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-09,0.0,,,1.0,2003-05-14,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,0.0,,,7.0,2003-05-14,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-14,0.0,,,9.0,2003-05-14,,,,,,,
,0.0,India,,,,0.0,2003-05-13,2003-05-13,0.0,,,3.0,2003-05-14,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-14,0.0,,,2.0,2003-05-14,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-14,0.0,,,9.0,2003-05-14,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-14,,,,,,,
,5.0,Malaysia,,,,2.0,2003-05-09,2003-05-14,0.0,,,7.0,2003-05-14,,,,,,,
,6.0,Mongolia,,,,0.0,2003-05-06,2003-05-09,0.0,,,9.0,2003-05-14,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-14,0.0,,,1.0,2003-05-14,,,,,,,
,3.0,Philippines,,,,2.0,2003-05-07,2003-05-14,0.0,,,10.0,2003-05-14,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-14,0.0,,,1.0,2003-05-14,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-14,1.0,,,3.0,2003-05-14,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-14,,,,,,,
,157.0,Singapore,,,,28.0,2003-05-09,2003-05-13,0.0,,,205.0,2003-05-14,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-14,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-05,0.0,,,1.0,2003-05-14,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-14,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-14,,,,,,,
,5.0,Thailand,,,,2.0,2003-05-13,2003-05-13,1.0,,,8.0,2003-05-14,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-13,0.0,,,4.0,2003-05-14,,,,,,,
,35.0,United States,,,,0.0,2003-05-10,2003-05-12,0.0,,,64.0,2003-05-14,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-14,,,,,,,
,3397.0,Total,,,,587.0,,,97.0,,,7628.0,2003-05-14,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-15,0.0,,,6.0,2003-05-15,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-15,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-15,,,,,,,
,107.0,Canada,,,,23.0,2003-05-04,2003-05-14,0.0,,,142.0,2003-05-15,,,,,,,
,1858.0,China,,,,271.0,2003-05-15,2003-05-15,52.0,,,5163.0,2003-05-15,,,,,,,
,1160.0,Hong Kong,,,,234.0,2003-05-15,2003-05-15,5.0,,,1703.0,2003-05-15,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-14,0.0,,,1.0,2003-05-15,,,,,,,
,38.0,Taiwan,,,,30.0,2003-05-15,2003-05-15,26.0,,,264.0,2003-05-15,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-15,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-15,0.0,,,1.0,2003-05-15,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,0.0,,,7.0,2003-05-15,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-15,0.0,,,9.0,2003-05-15,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-15,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-14,0.0,,,2.0,2003-05-15,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-15,0.0,,,9.0,2003-05-15,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-15,,,,,,,
,5.0,Malaysia,,,,2.0,2003-05-09,2003-05-14,0.0,,,7.0,2003-05-15,,,,,,,
,7.0,Mongolia,,,,0.0,2003-05-06,2003-05-15,0.0,,,9.0,2003-05-15,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-15,0.0,,,1.0,2003-05-15,,,,,,,
,4.0,Philippines,,,,2.0,2003-05-15,2003-05-15,2.0,,,12.0,2003-05-15,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-14,0.0,,,1.0,2003-05-15,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-15,0.0,,,3.0,2003-05-15,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-15,,,,,,,
,157.0,Singapore,,,,28.0,2003-05-09,2003-05-14,0.0,,,205.0,2003-05-15,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-15,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-15,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-15,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-15,,,,,,,
,5.0,Thailand,,,,2.0,2003-05-13,2003-05-13,0.0,,,8.0,2003-05-15,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-15,0.0,,,4.0,2003-05-15,,,,,,,
,35.0,United States,,,,0.0,2003-05-10,2003-05-13,0.0,,,64.0,2003-05-15,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-15,,,,,,,
,3484.0,Total,,,,598.0,,,85.0,,,7699.0,2003-05-15,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-15,0.0,,,6.0,2003-05-16,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-16,,,,,,,
,0.0,Bulgaria,,,,0.0,2003-04-24,2003-04-28,0.0,,,1.0,2003-05-16,,,,,,,
,106.0,Canada,,,,23.0,2003-05-04,2003-05-15,0.0,,,140.0,2003-05-16,,,,,,,
,1947.0,China,,,,275.0,2003-05-16,2003-05-16,39.0,,,5191.0,2003-05-16,,,,,,,
,1171.0,Hong Kong,,,,238.0,2003-05-16,2003-05-16,3.0,,,1706.0,2003-05-16,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-15,0.0,,,1.0,2003-05-16,,,,,,,
,46.0,Taiwan,,,,35.0,2003-05-16,2003-05-16,10.0,,,274.0,2003-05-16,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-16,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-15,0.0,,,1.0,2003-05-16,,,,,,,
,4.0,France,,,,0.0,2003-05-09,2003-05-09,0.0,,,7.0,2003-05-16,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-16,0.0,,,9.0,2003-05-16,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-16,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-16,0.0,,,2.0,2003-05-16,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-16,0.0,,,9.0,2003-05-16,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-16,,,,,,,
,5.0,Malaysia,,,,2.0,2003-05-09,2003-05-16,0.0,,,7.0,2003-05-16,,,,,,,
,7.0,Mongolia,,,,0.0,2003-05-06,2003-05-15,0.0,,,9.0,2003-05-16,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-16,0.0,,,1.0,2003-05-16,,,,,,,
,4.0,Philippines,,,,2.0,2003-05-15,2003-05-16,0.0,,,12.0,2003-05-16,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-14,0.0,,,1.0,2003-05-16,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-16,0.0,,,3.0,2003-05-16,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-16,,,,,,,
,157.0,Singapore,,,,28.0,2003-05-09,2003-05-16,0.0,,,205.0,2003-05-16,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-16,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-16,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-16,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-09,0.0,,,1.0,2003-05-16,,,,,,,
,5.0,Thailand,,,,2.0,2003-05-13,2003-05-15,0.0,,,8.0,2003-05-16,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-16,0.0,,,4.0,2003-05-16,,,,,,,
,34.0,United States,,,,0.0,2003-05-10,2003-05-15,2.0,,,65.0,2003-05-16,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-16,,,,,,,
,3590.0,Total,,,,611.0,,,54.0,,,7739.0,2003-05-16,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-15,0.0,,,6.0,2003-05-17,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-17,,,,,,,
,106.0,Canada,,,,23.0,2003-05-04,2003-05-16,0.0,,,140.0,2003-05-17,,,,,,,
,2009.0,China,,,,282.0,2003-05-17,2003-05-17,28.0,,,5209.0,2003-05-17,,,,,,,
,1191.0,Hong Kong,,,,243.0,2003-05-17,2003-05-17,4.0,,,1710.0,2003-05-17,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-15,0.0,,,1.0,2003-05-17,,,,,,,
,46.0,Taiwan,,,,35.0,2003-05-16,2003-05-16,0.0,,,274.0,2003-05-17,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-17,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-15,0.0,,,1.0,2003-05-17,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-16,0.0,,,7.0,2003-05-17,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-16,0.0,,,9.0,2003-05-17,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-17,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-16,0.0,,,2.0,2003-05-17,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-16,0.0,,,9.0,2003-05-17,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-17,,,,,,,
,5.0,Malaysia,,,,2.0,2003-05-09,2003-05-16,0.0,,,7.0,2003-05-17,,,,,,,
,7.0,Mongolia,,,,0.0,2003-05-06,2003-05-15,0.0,,,9.0,2003-05-17,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-16,0.0,,,1.0,2003-05-17,,,,,,,
,4.0,Philippines,,,,2.0,2003-05-15,2003-05-17,0.0,,,12.0,2003-05-17,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-16,0.0,,,1.0,2003-05-17,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-17,0.0,,,3.0,2003-05-17,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-17,,,,,,,
,157.0,Singapore,,,,28.0,2003-05-09,2003-05-16,0.0,,,205.0,2003-05-17,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-17,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-17,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-17,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-17,,,,,,,
,5.0,Thailand,,,,2.0,2003-05-13,2003-05-15,0.0,,,8.0,2003-05-17,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-16,0.0,,,4.0,2003-05-17,,,,,,,
,34.0,United States,,,,0.0,2003-05-16,2003-05-16,1.0,,,66.0,2003-05-17,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-17,,,,,,,
,3674.0,Total,,,,623.0,,,33.0,,,7761.0,2003-05-17,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-19,0.0,,,6.0,2003-05-19,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-19,,,,,,,
,106.0,Canada,,,,23.0,2003-05-04,2003-05-16,0.0,,,140.0,2003-05-19,,,,,,,
,2148.0,China,,,,289.0,2003-05-19,2003-05-19,40.0,,,5236.0,2003-05-19,,,,,,,
,1213.0,Hong Kong,,,,251.0,2003-05-19,2003-05-19,4.0,,,1714.0,2003-05-19,,,,,,,
,0.0,Macao,,,,0.0,2003-05-09,2003-05-15,0.0,,,1.0,2003-05-19,,,,,,,
,50.0,Taiwan,,,,40.0,2003-05-18,2003-05-18,70.0,,,344.0,2003-05-19,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-19,,,,,,,
,0.0,Finland,,,,0.0,2003-05-07,2003-05-15,0.0,,,1.0,2003-05-19,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-16,0.0,,,7.0,2003-05-19,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-19,0.0,,,9.0,2003-05-19,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-19,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-19,0.0,,,2.0,2003-05-19,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-19,0.0,,,9.0,2003-05-19,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-19,,,,,,,
,5.0,Malaysia,,,,2.0,2003-05-09,2003-05-19,0.0,,,7.0,2003-05-19,,,,,,,
,8.0,Mongolia,,,,0.0,2003-05-06,2003-05-19,0.0,,,9.0,2003-05-19,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-19,0.0,,,1.0,2003-05-19,,,,,,,
,8.0,Philippines,,,,2.0,2003-05-15,2003-05-19,0.0,,,12.0,2003-05-19,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-16,0.0,,,1.0,2003-05-19,,,,,,,
,1.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-19,0.0,,,3.0,2003-05-19,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-19,,,,,,,
,160.0,Singapore,,,,28.0,2003-05-18,2003-05-18,1.0,,,206.0,2003-05-19,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-19,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-19,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-19,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-19,,,,,,,
